WellID,Date,Elevation,Type
W037,1976-04-06,1360.5,RPELEV
W037,1976-04-06,1344.6,Well Water Level
W051,1976-04-07,1360.5,RPELEV
W055,1976-04-07,1357.5,RPELEV
W075,1976-04-07,1372.8,RPELEV
W079,1976-04-07,1336.3,RPELEV
W087,1976-04-07,1335.6,RPELEV
W051,1976-04-07,1344.4,Well Water Level
W055,1976-04-07,1331.7,Well Water Level
W075,1976-04-07,1349.2,Well Water Level
W079,1976-04-07,1315.5,Well Water Level
W087,1976-04-07,1328.2,Well Water Level
W086,1976-04-09,1345.7,RPELEV
W092,1976-04-09,1358.4,RPELEV
